Unnamed: 0,review_id,product_id,title,author,rating,content,timestamp,profile_id,is_verified,helpful_count,product_attributes,product_name
146,R27QPQQH3RRPB,B09H27SXHS,5.0 out of 5 stars Perfect daily ear phones,kristopher fuller,5,Connect quickly and really do have a long usage especially if your only using 1 ear bud at a time but the bass is good and it does block out noise aswell,"Reviewed in the United States April 14, 2022",AEHNRVABKKPZE3MCBHSSGQQQVBRA,1,0,Color: Black,HTC Wireless Headphones Bluetooth 5.1
147,R2U3ATV0NFCD1Z,B09H27SXHS,2.0 out of 5 stars You get what you pay for,Stalwart2,2,"These earbuds worked great for the first couple of weeks. After that I noticed that they would cut in and out while playing, and they didn't stay in sync. When I finally got around to requesting a return, I saw that I missed the cut-off by one day! Very disappointing. Do not waste your money on these.","Reviewed in the United States March 18, 2022",AHRFV54NKMCXJXLR5JKYMJOVU4YA,1,0,Color: Black,HTC Wireless Headphones Bluetooth 5.1
148,RFVYXS04I91PK,B09H27SXHS,5.0 out of 5 stars Shocked by the sound quality!,catatonicam,5,These are amazing for the price. The only complaint I have is the charger case is a bit cheap and hard to open.,"Reviewed in the United States June 22, 2022",AHHVOIF4MHNBR6VBAO2LAMQMGJXA,1,0,Color: Black,HTC Wireless Headphones Bluetooth 5.1
149,R2MT4YJXK13D69,B09H27SXHS,"5.0 out of 5 stars Snug fit, won't fall out of ear!",Holly Wood,5,"Compared to other ear buds I've owned, these do not budge or slip out of my ears.Crisp sound, nice bass. Calls are clear for both ends of the line.Great for the price!!","Reviewed in the United States January 24, 2022",AFLKCWEXOCZYOFVIPB5U5FESX7QA,1,0,Color: Black,HTC Wireless Headphones Bluetooth 5.1
150,R1A9WN485EBEF2,B09H27SXHS,3.0 out of 5 stars Son livianos,Douglas Montes,3,Muy buena,"Reviewed in the United States May 17, 2022",AHKRWNMNIL2STGH4ANTYZSGGIMAA,1,0,Color: Black,HTC Wireless Headphones Bluetooth 5.1
151,R10CUBL1EWADQW,B09H27SXHS,3.0 out of 5 stars Good sounding headphone but left bud won't charge at all,Vincent,3,I get the luck of having a faulty left bud/charging port,"Reviewed in the United States December 1, 2021",AF6EUGOAOXWWMFTZQHEASZF4ANZQ,1,1,Color: Black,HTC Wireless Headphones Bluetooth 5.1
152,R25G8B5MOAKT2Q,B09H27SXHS,5.0 out of 5 stars Nice!!!!ðŸ˜Ž,The Indian Chief,5,"I've owned several sets of earbuds, this one beats them all hands down!! Very good sound quality, especially in the bass response category! Also very comfortable to wear, and no slippage!","Reviewed in the United States January 9, 2022",AGEGH7PY764OYYHMDYQD3FFKUNDA,1,0,Color: Black,HTC Wireless Headphones Bluetooth 5.1
153,R3JLFY6TBRAIU2,B09H27SXHS,5.0 out of 5 stars Cheap but good,Amazon Customer,5,Not expensive. Sound quality is good. This is my second day wearing them and they hold a good charge and very comfortable to wear,"Reviewed in the United States April 19, 2022",AFDYJP6JQQ7L7JWU3WLZAPX5OA2A,1,0,Color: Black,HTC Wireless Headphones Bluetooth 5.1
154,R3TOVO6X98PW91,B09H27SXHS,"5.0 out of 5 stars They are perfect, they sound incredible, amazing battery:):)",Hernan Palma,5,"I had some problems at the beginning, the seller sent me a replacement immediately and they work perfectly","Reviewed in the United States July 5, 2022",AGDDLKITNBRKXJEERO3IYWVDZQEQ,1,0,Color: Black,HTC Wireless Headphones Bluetooth 5.1
155,R3OA8TK890MMO6,B09H27SXHS,2.0 out of 5 stars unreliable,Michael,2,not even 6 months and the left side wonâ€™t charge anymore,"Reviewed in the United States February 25, 2023",AGTV2ELWEQGXZ4IAIC22Y47K4FMA,1,0,Color: Black,HTC Wireless Headphones Bluetooth 5.1
